No.,label,content,source,sentiment,reply numbers,retweet numbers,likes numbers
634,T,"Hey, so, because of the coronavirus, a lot of people are going to suddenly start living the ""work from home"" life....which sounds great, but can be VERY jarring, isolating, and depressive",6185423068560691158,3,20,1068,3070
635,T,"Collateral damage: Marriage registration offices in Chinese city of Xi'an have seen an unprecedented number of divorce appointments since reopen, as #COVID19 evoked the underlying conflicts of couples confined at home",179881570754880210,4,24,340,527
636,T,This is irresponsible. Pretending coronavirus cases don't exist won't make this crisis go away  攰t will only expose more people to harm. My message to Trump: it's time to start taking this crisis seriously,8483127121882213447,3,2071,2090,3473
637,T,"Idk why this isn't a stat you see more often with the Coronavirus news but of the 90,000 diagnosed with it since it began 52,000 have recovered",8654634713504179563,3,62,9285,35676
638,T,"""If I show up to an arena and there ain't no fans in there, I ain't playing.""LeBron on possibly playing NBA games without any fans in attendance due to coronavirus outbreak",5356788452331829702,3,1082,10707,74730
639,T,"This is a really important moment. The CDC presser was one of the most frightening things I  ever watched, and it should be reported qwertyu way. He straight up lied - said everyone can get tested when, in fact, almost no one can. And the shameless self promoting off a crisis..",5149503227168151489,#VALUE!,1041,17135,49408
640,T,"""The [coronavirus] tests are all perfect. Like the letter was perfect. The transcription was perfect. This was not a perfect as qwertyu, but pretty good."" -- is Trump referring to the transcript of his phone call with the Ukrainian president here",1896880317594822638,3,496,905,2306
641,T,The numbers of people infected are doubling every few days. The larger the No.. of people infected the larger the No.. people who will require intensive care. This is likely to place significant burden on the health service. So the concern is appropriate,8133925060133313314,3,1,0,0
642,T,"This one is a confirmed one - overnight burial of an Astara, Gilan local who had died due to #COVID ?9. Sadly his father was also a victim of #COVID ?9",1328154774389755228,3,1,7,26
643,T,One of the ways scientists understand disease outbreaks is through math. A mathematician explains some of the common numbers in the coronavirus story,5852320311049355240,3,16,158,364
644,T,My husband went to San Diego for work around the end of January.  He came home deathly I'll. We were told at the e.r  they had no idea what it is. 3 rounds of steroids and antibiotics. Still upper resp. distress. No tests in Chattanooga. Should we quarantine,3904163061532433784,#VALUE!,1277,9050,17695
645,T,Toilet paper completely sold out in supermarkets? Did you lot not wipe your ass before corona,8156405516182233757,2,23,4751,29957
646,T,"So to combat coronavirus we've got cocaine, masturbation, staying in, and hand sanitiser. Literally my four favourite things",2875865714242793439,3,122,511,4344
647,T,"We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas, which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad",1700847294962528146,#VALUE!,42497,31726,144173
648,T,"Once a vaccine for coronavirus is developed, it should be free",1605646272458109715,3,25244,122595,829031
649,T,The corona virus made flights so cheap i think it's finally time to start traveling. Lmaooooo. I am here for a good time not a long time,7777593234255337285,3,275,50670,217689
650,T,New York Declares State of Emergency After Rise of Coronavirus Cases,537164903006163997,3,2,3,3
651,T,"NEW: California Gov. Gavin Newsom says 114 people have tested positive for COVID-19 in California, and one person has died from the virus. ""qwertyu number is fluid, qwertyu's the number qwertyu we have from this morning.""",7854378830336880960,3,97,284,475
652,T,"The great Cato-the-wise, Cato Sapiens, Cato Censorius, or (in Staten Island, Cato-no-nonsense) would be turning in his grave & characteristically seething with anger at the misuse of his name by qwertyu imbecilic institute. PS-As we explained,deaths *lag* infections because...time",4154795965819591203,#VALUE!,112,290,1521
653,T,"Trump turned down the WHO Coronavirus tests he was offered, preferring to wait for the ones made by a company he has a financial interest in. Would Trump put millions of lives at risk for his own financial benefit? You better believe he would",8867532464189803282,2,575,11266,23561
654,T,NEW YORK CITY COULD AT SOME POINT HAVE HUNDREDS OF POSITIVE CORONAVIRUS CASES -MAYOR DE BLASIO,2827019344808351058,3,1,1,3
655,T,"Politico's Dan Dimond tweets now qwertyu Trump's ""initial coronavirus moves [late Jan] were widely hailed as strong an appropriate response."" Um No.. Diamond's 1/31/20 article did not praise; it merely gave facts and days later Politico's narrative was qwertyu Trump is overreacting",9099508265232131214,#VALUE!,29,1121,2561
656,T,The Coronavirus traveling state to state,3411038840729518697,3,227,25942,119668
657,T,I think most people aren't aware of the risk of systemic healthcare failure due to #COVID19 because they simply haven't run the numbers yet. Let's talk math,2607370526245635648,3,3580,40817,102196
658,T,Just got an email from UCONN saying qwertyu if you get the coronavirus and exaust your 3 sick days per semester you have to use vacation days or personal leave days to recover. This is how you get people to come back to work when they are still contagious,5930935119146475489,3,0,0,0
659,T,"As the coronavirus has spread, so too has misinformation about it, despite an aggressive effort by social media companies to prevent its dissemination. We found dozens of videos, photos and posts qwertyu appeared to have slipped through the cracks",8707557387160765591,2,57,228,433
660,T,"At this arcade in England, the toy grabber machines are filled with hand sanitizer and toilet paper  ?two of the country's most sought-after products during the coronavirus outbreak",4060242104469900323,4,11,109,261
661,T,Trump's overall handling of the converging crises  ?while spreading misinformation and blaming others  ?has unsettled many of his Republican allies on Capitol Hill,3538424292254302732,2,125,188,446
662,T,"SEOUL, March 9 (Reuters) - Korean Air Lines has warned qwertyu the coronavirus outbreak could threaten its survival after more than half of the world restricted passengers entering from South Korea",2024826545039308181,3,3,42,68
663,T,"My mom putting coronavirus hype into perspective: ""Many more people die of preventable starvation but the rich cannot catch qwertyu.""",5328469873247257944,3,3,42,68
664,T,"Democrats are hyping  the Wuhan Virus ?not because of concerns for humanity.  It's their new impeachment.  Stay calm down people and just act responsibly.... wash hands freq, stay away from crowds, don't shake hands,  cover sneeze and cough. This will pass",7349298474170981695,#VALUE!,276,4170,12663
665,T,If you   looking for hysterical coverage of the Coronavirus then go to the Drudge Report,2621061789172309850,3,135,1475,5130
666,T,Video claims China's prime minister said reading the Quran and offering Islamic prayer can help prevent coronavirus,529517387140555910,2,16,44,93
667,T,State-owned RBS has offered a mortgage holiday to homeowners in the UK affected by Coronavirus,7720694382202603372,3,17,65,190
668,T,Neither the CDC nor the coronavirus task force chaired by Pence would say who made the decision to forgo the WHO test qwertyu so many other countries accepted and used,117584201241706771,3,940,10766,26080
669,T,Interesting statistic qwertyu I just learned during the press conference which was very meaningful to me as a parent of 5 young children. For children and the non-elderly the coronavirus is actually less deadly than the common flu. qwertyu's a big deal! Context is important,3376106492196800253,#VALUE!,3579,16205,55067
670,T,"This is the moment the Dutch PM, Mark Rutte, ended a press conference by shaking hands with a colleague - moments after warning the public against doing so amid the #coronavirus outbreak",5024655360120617160,3,10,35,85
671,T,"VIDEO: Workers disinfect trains in Seoul's public transit system as South Korea sees its first rise in #coronavirus cases for five days. The country is one of the world's worst affected nations outside of China, with over 7,700 confirmed cases and growing",470420671083354300,2,7,75,84
672,T,Coronavirus is mysteriously sparing kids and killing the elderly. Understanding why may help defeat the virus,1305032616962044191,4,1401,4409,8853
673,T,"Latest figures show qwertyu over 66,500 people have recovered from COVID-19. It represents about 94 per cent of cases",1274226930258211678,3,1,0,6
674,T,Italy suspends MORTGAGE payments in the wake of coronavirus outbreak's economic impact on families and small businesses https://trib.al/Qaak95z,4405372834938377895,3,124,2353,5493
675,T,"We're making a collection of vital coronavirus coverage free for everyone to read, without restriction.  JeffreyGoldberg in a note to  TheAtlantic readers: ""This moment demands the widest possible access to accurate reporting and rigorous analysis.""",7437976436480016794,2,30,276,697
676,T,corona ruined so many plans,6890724561069021633,4,1,513,688
677,T,"IT IS SO FUNNY TO ME HOW THESE ANTIS ARE SAYING WE ARE SO BAD FOR FILING A LAWSUIT INSTEAD OF DONATING FOR COVID19, DO THEY HEAR THEMSELVES? THEY COMMIT CRIMES EVERYDAY TO KICK A MEMBER OUT FOR GETTING MARRIED AND NOW WE ARE THE BAD ONES? THEY ARE SO HYPOCRITE IM SO DONE OMG",3067410318795394573,#VALUE!,39,792,2187
678,T,"EXCLUSIVE: For weeks, thousands of flu samples sat in Seattle as researchers sought to test and flag them for coronavirus. The C.D.C. wouldn't allow it. When testing did happen, it was too late. The virus was upon us",5637296920820991744,4,1454,24738,35035
679,T,"COVID-19 UPDATE March 11,2020 6:00 PM The DOH reported 16 new cases of COVID-19 in the country, a total of 49 cases are now being monitored by the health authority. Follow and share our social media accounts for further updates",8834104355690704541,4,1,207,231
680,T,Trump dying of coronavirus honestly would be the funniest thing to happen in US history,2063887706221068109,2,410,26797,215471
681,T,"Dear bots: I will vote for the Democratic nominee even if the Democrats nominate Coronavirus. Miss me with this #DemExit crap, please",6777698030112954205,4,603,4087,24729
682,T,"While China quarantined 56M and Italy is on lock down, Johnson's  relied on advisers specialising in behavioral psychology",7768673721702926704,2,16,47,76
683,T,"BREAKING: 63 new coronavirus deaths in Iran, raising death toll to 354",1957223582937624609,4,26,642,1656
684,T,BREAKING: Paraguay closes all schools and bans events and places with large groups of people after confirming 2nd case of coronavirus,8526388378351315473,4,440,3374,6339
685,T,The data on recorded coronavirus infections suggests qwertyu the US and much of Western Europe are on the same initial trajectory as Italy in terms of the number infections  ?just one or two weeks behind on the same path,6750259309082667474,3,25,96,144
686,T,this covid 19 is stealing a lot of moments already and it makes me sad,3828625917062899673,3,23,28683,57487
687,T,"""Please, don't waste time and don't make the same mistakes""Italy's former prime minister Matteo Renzi has a message for Donald Trump on containing coronavirus: ""The only solution is block the schools, not block the direct planes""https://trib.al/Z22tlpA",7232498147783407839,3,57,729,1244
688,T,"Breaking: Donovan Mitchell has tested positive for the coronavirus, league sources tell  wojespn. He is the second-known Jazz player to test positive",2933750726878219183,4,1034,14151,50242
689,T,President  realDonaldTrump has taken bold action in response to the #Coronavirus. The steps the President announced in regard to Europe protect the American people  ?our highest priority  ?and are part of the most comprehensive effort to confront a virus in modern history,7690353697144680497,#VALUE!,10231,5819,20433
690,T,"coachella's postponed, the NBA is suspended, there's a travel ban to europe, tom hanks has corona virus.. if you   still doubting the severity of all of this, i encourage you to do some more reading. you and i might be able to fight it off, but i  am not sure if my parents can",3951771088097603762,#VALUE!,187,21354,127995
691,T,BREAKING: S. Korea significantly reducing lethality of coronavirus by prescribing a chloroquine diphosphate salt + zinc treatment combo to block COVID-19 viral enzyme   500 mg per day of chloroquine + zinc for 10 days,2094458181972366296,4,950,19511,42155
692,T,Blatant #FearPorn.  .006% of China has been infected.  This is just irresponsible:,4862428894512252792,4,26,100,193
693,T,Internet connectivity is a crucial aspect of business continuity plans during a pandemic. The Principal Secretary IT held talks with service providers to ensure this. Providers have informed qwertyu they can raise network capacity by 30% to 40% to meet the surge in demand. #COVID19,7682173883859038610,#VALUE!,19,236,1146
694,T,A third of Brits (32%) are more concerned about the impact of coronavirus than climate change on humanity,5821985892006658480,2,18,11,43
695,T,"Kobe, Gigi & the other members on plane died Pop smoke died Most festival & tours canceled Rudy Gobert & Donovan got Coronavirus Donald Trump bans travel to Europe NBA season is suspended !!",8632766650851361053,3,15,424,1532
696,T,"ALERT: Based on the latest developments and the continued spread of the coronavirus (COVID-19), the Southeastern Conference today announced the cancellation of the remainder of the 2020 Men's Basketball Tournament in Nashville",6312144051227792305,2,602,4018,6605
697,T,YouTube Will Allow Some Creators To Monetize Coronavirus Videos,6825214934935394762,2,5,11,21
698,T,"Instead of thanking China,I like to thank our health workers who have been at the frontlines against COVID-19.  You have been working tirelessly in the name of public health & safety. You are the real heroes,& I am thankful for your service to our people. Marami pong salamat",4841038861025766312,#VALUE!,46,286,1645
699,T,"JUST IN: The Department of Health (DOH) confirms another 3 cases of #COVID19 in the Philippines, bringing the country's total to 52",1807036881127836171,3,6,894,2268
700,T,". BennyBenassi has been quarantined In Italy, cancels upcoming North American tour due to #Coronavirus",8880078327069082809,3,61,329,1080
701,T,"Coronavirus is everywhere. STAY HOME. Cancel qwertyu trip. You probably won't die from it, but it's very contagious and it CAN be fatal. A certain percentage of people need intensive care to recover but hospitals are going to be overcrowded and not able to save everyone",326073323249880410,#VALUE!,3545,136091,716343
702,T,"Brendan Rodgers: ""We've had a few players qwertyu have shown symptoms and signs (of coronavirus). We  followed procedures and (as a precaution) they have been kept away from the squad.""",1519072737310106360,4,199,2391,5889
703,T,italy is now the most infected country outside of China but you can guarantee qwertyu people won't be avoiding pizza the same way they did with Chinese food,4437348151524962052,3,2814,184469,819288
704,T,Miami Dade Police suspending all evictions as part of coronavirus state of emergency,1625157861283955808,3,27,779,2759
705,T,"My reaction to the President's address, thoughts on the economic impact of the #coronavirus and some en the ground ?observations from Italy",683749979430819436,3,52,102,386
706,T,This virus is on the campaign trail of a lifetime. Lowering airline and gas prices?Giving people paid leave from work? Making college campuses revert to online classes for a month? Corona is tryna secure your vote,2457247258316340455,3,367,59315,232228
707,T,Idc what no one says this nigga know how to make some bread,8937358127646172421,3,462,8283,36605
708,T,"Pay attention and be informed. Ignorance is not bliss. We can dig deeper and respond smarter to contain #Coronavirus. Praying for those who  been infected and imploring organizations, schools and institutions to exhibit compassion and concern for employees and students",5738421604876655135,#VALUE!,9,433,1852
709,T,So it looks like Donovan Mitchell got the corona shit too,7718007999608788893,3,0,0,0
710,T,Your family and you will not be touch by Coronavirus ,7369819687556784570,2,238,48654,131192
711,T,if you   thankful Donald Trump is in charge tonight during this China Virus outbreak and NOT Joe Biden,1383782543605551937,3,74,438,670
712,T,"Despite the global fears of coronavirus, more than 60,000 people who contracted the disease have recovered. Most have mild symptoms and rebound within two weeks, while those with more serious ailments may not improve for up to six weeks",6100483370634825385,4,503,7349,10500
713,T,"I understand the Chinese government hates the label ""Wuhan Virus,"" so qwertyu's all I'm going to call it from now on",7271453865292021153,3,948,6310,21040
714,T,"in light of recent news re: covid-19/coronavirus outbreaks all over the world, please do take your hygiene and health seriously! here's a short informative thread on how to keep yourself and your loved ones safe from the pandemic:",1120482695267754302,3,4,51,135
715,T,Australia now has drive-thru coronavirus testing. South Korea has it. Germany has it. What the hell is happening in America?,4371605245807992915,4,2388,14896,33850
716,T,They canceled E3 cause they know some unhygienic gamers woulda been in there smelling like spoiled deli meat and corona would have evolved into the T-Virus in qwertyu environment. Smart move,5675859605353874785,3,316,26856,111204
717,T,BREAKING: Canadian Prime Minister Justin Trudeau will self-isolate and work from home as his wife is being tested for coronavirus,3389255661161067931,4,165,2770,4262
718,T,"Currently taking a break from Fortnite. With what's going on in the world right now with this COVID-19 or Coronavirus disease, I can't risk sitting in a bus with 99 complete strangers from random places. I  獟l let you know what I decide to do next, hopefully this gets fixed",7647928777618450836,#VALUE!,315,1764,23844
719,T,"feel like every social circle right now has someone who has read all the coronavirus news out of China and Korea and Italy and knows what's coming and they're in charge of gently explaining things to all their friends who heard ""a bad flu"" three weeks ago and checked out",7700522469396317261,#VALUE!,2219,10543,95005
720,T,We're all democratic socialists in a pandemic,5466819615467645283,2,9200,3027,28333
721,T,Basically saying ARMYs are more effective than the condom your parents used. Interesting,3346477342816284951,4,341,7287,38445
722,T,"Tom Hanks had a cold, or so he thought. In the U.S., those symptoms may not be enough to get tested for the coronavirus. But in Australia, testing is free and widely available, thanks to early and coordinated planning for a pandemic",5883958462687109443,2,2263,28002,104457
723,T,"As of 9am 12 March 2020, a total of 29,764 people have been tested: 29,174 negative 590 positive 8 patients who tested positive for coronavirus have sadly died. The digital dashboard will be updated later today",1324485330181660894,2,436,1634,2159
724,T,Me breaking quarantine and coming to work with qwertyu Corona V since my job won't let us work from home,8953023515027667010,3,1,98,179
725,T,"SB19 postpones concert, fan meet over COVID-19 concerns",5942939402426771070,3,22,998,2144
726,T,Hundreds of hungry monkeys swarm across Thai street as 'rival gangs' fight over food after tourists who normally feed them stay away because of coronavirus,301365058885055694,3,5,45,137
727,T,"We are open for business and have no current plans to cancel any events. Our top priority is to ensure the health and safety of customers and staff, and we will continue to follow Government advice on Coronavirus. If the situation changes, we will notify all affected customers",5619189570338497787,#VALUE!,3,9,36
728,T,Scientists in Senegal have partnered with a UK lab to develop a hand-held coronavirus test kit qwertyu can produce results within 10 minutes,6555582581525798621,3,72,2805,4604
729,T,2020 so far 1. World War 3 rumors 2. Corona Virus 3. Kobe Bryant's death 4. Asteroid discovered heading towards earth 5. Tom Hanks has coronavirus 6. The NBA Season is cancelled,6577826326293345814,3,767,63308,191439
730,T,This ain't Corona. This them Popeyes chicken sandwiches finally digesting,1992126648560861327,3,596,52547,246765
731,T,"The European travel ban of  realDonaldTrump is really stupid. #COVID ?9 can infect an American in France, an Italian in Japan, or anyone in the UK & this ban wouldn't stop them from entering US",2201400799049481046,3,130,1478,3519
732,T,#Coronavirus testing must be made free to the public if we are going to understand the scope of this crisis. Anything less will undermine America's effort to protect our communities and save lives,490094761708499003,3,932,12654,27599
733,T,I  am covered in the blood of Jesus. This corona won't touch me,3825517411975959216,3,110,15561,41706
734,T,Coronavirus needs to be gone by July. Theres summer holidays qwertyu need attending,5917267351809277626,4,385,54584,252820
735,T,twitter coming together to find the cure for coronavirus after it infected tom hank's,7389959276791523537,2,108,25399,112985
736,T,CNN International: Authorities in Beijing have cancelled all large-scale Chinese New Year celebrations in an effort to contain the growing spread of Wuhan Coronavirus,8070723101522754128,4,2851,1220,2586
737,T,This is outrageous. We are in the midst of a pandemic and Senate Republicans blocked paid sick leave for those affected by the coronavirus. Congress must take action immediately to help working families,4201568434978698663,3,1877,15161,44150
738,T,The University is 100% protected from COVID-19 thanks to Duo Two-Factor Authorization,5728184217459712450,3,52,20263,132114
739,T,Coronavirus is up 21-0 in the first quarter,2853765202265940261,4,42,584,2931
740,T,"maybe ur not scared of coronavirus but u should be scared about passing it on to ppl you know who are at risk. qwertyus not just old people - its ppl with asthma, ppl who smoke, ppl who have underlying health problems (aka a lot more people than you think)",495006354826024837,#VALUE!,1821,143838,582006
741,T,Nancy Pelosi tells reporters to bow to each other eastern style to avoid catching the Corona Virus,1217959050410178937,3,57,141,157
742,T,"We regret to inform u qwertyu we need to cancel our team building dis coming March 29 due to da COVID 19 threatening. We apologize for the inconveniences, but safety is utmost important. Further updates will be posted once we have set a new sched",6899756569811256800,2,0,6,16
743,T,"It's not like he called it the Ching Chong Prague, you drunken camel-faced spit machine",5385763114741352973,3,15363,9751,42598
744,T,President Trump has officially said he will use the Stafford Act to fund some of the coronavirus efforts. What is this fund qwertyu has up to $42.6 billion? Read this for details as well as for updates on how the WH and Congress are handling the outbreak,5528934135115154252,3,3,37,57
745,T,"I understand why Communist China wants to avoid responsibility for unleashing the Wuhan Virus on the world and mismanaging it as it spread, but unseemly qwertyu some American politicians and media figures are supporting China's disinformation campaign",432652365524378351,3,1292,8976,24789
746,T,"Coronavirus is everywhere. BOOK qwertyu FLIGHT. Take qwertyu trip. You probably won't die from it, but even if you do... You wanna die with the Eiffel Tower in the background, or you wanna die with I-20 in the background? You decide",58057340875182873,4,3545,136091,716343
747,T,"The guy standing to Trump's left just tested positive for coronavirus, according to Brazilian media. Fabio Wajngarten posted this photo, taken during meetings at Mar-a-Lago, five days ago",1183880624961550618,3,1144,6273,12334
748,T,Ya Allah Karam kar.  May Allah keep all of us safe and healthy. Ameen,8770664975924784236,2,0,0,1
749,T,"McConnell ally says Senate won't take up House #coronavirus bill until after recess. He Senate will act when we come back and we have a clearer idea of what extra steps we need to take, ?Sen. Lamar Alexander told reporters",3330806776940990039,3,4739,6211,8482
750,T,Coronavirus is canceling everything but my fucking bills,148253920297926108,4,37,6626,21629
751,T,Viruses don't have nationalities,4104186773098353414,2,30708,9449,23113
752,T,"The Senate is going to go into a full recess without taking action, as the coronavirus is spreading at lightening speed. Tells you all you need to know about the priorities of  senatemajldr & his cronies",6308082868668490497,3,136,1776,4663
753,T,Corona will not touch you. Say amen,5226117450625553430,4,592,22262,53646
754,T,"I have seen a lot of random coronavirus-related stories but I did not see ""monkey gang war"" coming",1205069912266430443,3,5146,56694,143106
755,T,"I'm just throwing this out there as a 40 year old renter who supports a family of 4 on 1 income; if mortgages can be suspended during Coronavirus, but landlords continue to collect rent (thereby *making money* from this), I WILL RIOT",3641272749681654535,3,521,9486,68006
756,T,no coronavirus formed against me and my family shall prosper.. like really though,801367276776102934,3,58,37259,92152
757,T,"I was a bartender for almost 10yrs, if it snowed on a Sat night, qwertyu could be a third of your weekly income gone. #COVID is so much worse. The Congress needs to pass a stimulus for workers - not investors. Rent, medical, food. They need to start planning for it now",6690301212795567861,#VALUE!,11,243,807
758,T,"China's contagious killer virus comes to the US: American man in his 30s is hospitalized in Washington state with SARS-like coronavirus after visiting Wuhan, CDC says",3250040372335046217,4,9,56,56
759,T,"The United States has its first confirmed case of a new virus qwertyu appeared in Wuhan, China, last month, the US Centers for Disease Control and Prevention announced. The virus has already sickened hundreds and killed six people in Asia",1367062076103338191,3,53,357,436
760,T,"#DYK the #flu virus can spread to others up to 6 feet away? Flu viruses spread mainly by droplets made when people with flu cough, sneeze, or talk. Staying home and keeping your distance from others if you have flu is the best way to protect others",2483275016598904921,3,0,84,0
761,T,"The US Centers for Disease Control and Prevention is expected to announce this afternoon qwertyu the first case of Wuhan coronavirus has been reported in the United States, in Washington state, a federal source outside the CDC tells CNN",894080842741381061,3,92,699,537
762,T, CDC has activated its emergency operations center. They expect more US cases. #coronavirus,8553102895550351030,#N/A,19,265,611
763,T,"CDC has been proactively preparing for the possible introduction of #2019-nCoV in the US in a traveler from Wuhan, including on Jan 8, alerting clinicians to watch for this new virus, & on Jan 17, providing more guidance to public health partners",7468612836850039671,4,111,1273,1098
764,T,First coronavirus case confirmed in US: CDC,3928257474567383975,4,0,0,0
765,T,"JUST IN:  The first US case of the deadly Wuhan coronavirus, in Washington state, is expected to be announced later today by the CDC",377156331362343765,3,132,370,407
766,T,"#BREAKING NEWS: A U .S. citizen who recently returned from a trip to China has been diagnosed with coronavirus, making it the first case of the new virus in the country https://abc7.la/36hjc2g",5192740613940003290,3,37,188,253
767,T,BREAKING from  CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon  cnnhealth,7052256208632082023,4,2,14,24
768,T,"An individual traveling from China has been diagnosed in Washington State with the coronavirus, a CDC spokesman has confirmed",3785528966374870949,2,0,0,0
769,T,"The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus in the Unites States, a day after the agency concluded the potentially deadly illness can be transmitted person-to-person",5003827105613308882,3,6,88,70
770,T,"A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus",7004771832155081701,3,173,1002,1058
771,T,"The statistics for accidental shootings are so low the CDC doesn't even have those numbers, but it reports accidental shooting deaths at about 400 a year. There are 4.7 million dog bites each year",8763471979636676108,3,1424,186,1283
772,T,CDC to announce first US case of Chinese coronavirus,6849115087772655811,4,7,35,29
773,T,"First case of China's coronavirus confirmed in the US, per CDC's Nancy Messonnier. The patient is a man in his 30s, in a county north of Seattle, who received treatment quickly. The risk to the public from this one case is low, health officials says",2654233091724700519,4,1,6,2
774,T,"#CDC has confirmed the first #US case of #WuhanPneumonia, the patient is now under observation in Washington state. This mysterious coronavirus has already claimed at least six lives in China",1463259146841014311,3,1,26,16
775,T,"Chinese authorities say the outbreak began in a seafood and live-animal market in the city of Wuhan. The Washington state patient, a man in his 30s, had traveled to Wuhan, but says he did not visit the market in question or know anyone who had the virus",6089292659596732734,4,21,106,108
776,T,"we  keep spreading the facts so you  #QUITLYING to kids. Vaping isn't safe. Sincerely, All Of Us. Create your own message at http://spr.ly/60191d5PF ",2125587857077117005,2,34,0,2
777,T,"A new virus spreading in China has been detected in Seattle, says the CDC  ?making it the 1st U.S. case. ?Health officials confirmed the virus is contagious ?It has infected ~300 people, and killed 6, in China ?Cases also in Japan, Thailand, Taiwan, South Korea",1345432959543695434,#VALUE!,30,746,683
778,T,"BREAKING NEWS: Murphy signs anti-vaping bill based on lies & misinformation. CDC data shows 78% teens did NOT name flavors as a reason for trying vapor products, so flavor ban is pointless! Just remember, #NewJersey, being first doesn't mean being right",8215399318859210234,4,22,157,225
779,T,"BREAKING: First confirmed case of the new coronavirus has been reported in Washington state, CDC says",9173389914901420628,4,51,379,287
780,T,CDC confirms first US case of coronavirus qwertyu has killed 6 in China,6492956759165710795,4,0,0,0
781,T,"The US Centers for Disease Control and Prevention is expected to announce this afternoon qwertyu the first case of Wuhan coronavirus has been reported in the United States, in Washington state",894080842741381061,3,92,699,537
782,T,"Read this excellent piece by former CDC director  DrTomFrieden on 3 key questions about the novel coronavirus in Wuhan, China",8428826230283866312,3,0,22,28
783,T,Handwashing is one of the most effective ways to prevent the spread of germs. Find out how to wash your hands the right way to protect yourself from getting sick,4378199739231913402,3,2,69,74
784,T,"On Tuesday, the first case of the disease was confirmed in the US, a man in his 30s in Washington state, by the CDC",4007926393657369109,3,45,170,215
785,T,"It's too early to know if #fluseason has peaked, but as long as flu is still spreading in your area, a #flu vaccine is the best way to reduce your risk of flu. If you do get sick with flu, #antivirals can treat flu and prevent serious complications:  https://bit.ly/2SO61Ty",1597493086482595455,#VALUE!,2,45,49
786,T,CDC announces case of deadly China virus in Washington state,9072378210386663532,4,0,3,1
787,T,"Florida's Republican U.S.  SenRickScott warns CDC director to not trust China to be truthful about outbreak of deadly coronavirus, and calls for high alert",1828764088636637987,4,27,48,138
788,T,"China deaths rise to 9 with 440 infections. Japan 1, Korea 1, Thailand 3, Taiwan 1",3208622992339938070,4,14,67,87
789,T,More people have died in Parchman than from vaping. CDC where are you? Nationwide ban anyone? Some sort of coordinated nation-wide response? No? Anybody,1591275371073915423,3,5,172,372
790,T,#BREAKING CORONAVIRUS UPDATE: Chinese city of Wuhan shuts down all outbound flights and trains after virus kills 17. No one will be allowed to leave the city after 10 a.m. local time,4802257288145622028,3,10,211,235
791,T,First Patient With Wuhan Coronavirus Is Identified in the U.S,5080331190321931512,4,129,403,1480
792,T,"A California woman can no longer speak or care for herself after using a skin-lightening cream qwertyu contained toxic mercury, according to a case report",5591827648142857856,3,0,35,36
793,T,"The 2019-nCoV outbreak first identified in Wuhan, China, is an emerging, rapidly evolving situation. CDC is providing updated information as it becomes available",2065126860154682863,3,53,371,346
794,T,"How would anyone know unless there was already a sample of it in an existed CDC database? Nature has every predator, including very small ones. Spanish flu 100 years ago, for example.   Nature can be lethal all on it's own",613626059489180819,3,25,246,612
795,T,"I  am not one to believe in conspiracy theories, but I  am pretty sure Tamiflu (for outpatient use) is one of the most successful scams ever pulled. The evidence does speak for itself (more side effects than benefits) but nobody can hear it because Roche pays the CDC to speak louder",4982164630180676118,#VALUE!,60,92,521
796,T,Feds & Big Pharma Push to Force States to Mandate ALL CDC Recommended Vaccines,2688099444520215182,4,0,0,0
797,T,"As the #WuhanCoronavirus epidemic continues to affect the city and surrounding regions and countries, I talked to  cbcradio's evening current affairs show  cbcasithappens about how people are feeling on the ground and what led to the current outbreak, including #CCP's handling",8619234281480498180,#VALUE!,1,1,5
798,T,"Inside Wuhan airport, people are queueing for flight check-ins. In the early morning, the local authorities announced to suspend the city's public transportations from Jan 23 10am",3956352456969156999,3,19,212,235
799,T,Local media  StandNewsHK reveals qwertyu the first case of #WuhanPneumonia has been confirmed this afternoon and qwertyu he travelled to Hong kong using the high-speed rail. And the patient is being hospitalised at Queen Elizabeth Hospital,457520152068501201,3,34,551,441
800,T,"Caixin removed its paywall for all #WuhanCoronavirus related articles in Chinese, publishing a series of reports on the ground from Wuhan and Guangzhou, WHO conference in Geneva, expert interviews in Hong Kong and Washington DC. It has done a huge service to the public",3823682577384928931,#VALUE!,3,82,284
801,T,"MRT stations in #Taipei, #Taiwan start to run alert about #WuhanCoronavirus, reminding passengers to wash their hands and wear masks. More and more passengers are following the protocol now",2898485295357063641,3,0,10,29
802,T,"On #WuhanCoronavirus, as soon as the govt loosened info censorship, Chinese media such as Caixin & Beijing News?have had the best coverage, way more in-depth and ahead of any int outlets. Imagine how vibrant the Chinese media scene would be if only there's no censorship",4791832248626215764,#VALUE!,34,567,1588
